
03000000007801Z01       19070060612
03000000007801Z02         8280606AC
03000000007801Z03        4935060612
03000000007801Z04        1061060612
03000000007801Z05         978060612
03000000007801Z06         467060612
03000000007801Z07          70060612
03000000007801Z08    19139693060612
03000000007801Z09     2751805060612
03000000007801Z10     2391967060612
03000000007801Z11      963964060612
03000000007801Z12      157231060612
03000000007801Z74           00606NR
03000000007801V01           00606NR
03000000007801V02           00606NR
03000000007801V03           00606NR
03000000007801V04           00606NR
03000000007801V05           00606NR
03000000007801V07           00606NR
03000000007801Z71       86613060612
03000000007801Z62      344438060612
03000000007801Z63      592358060612
03000000007801Z70           0060612
03000000007801Z13      213190060612
03000000007801Z14       32502060612
03000000007801Z15       27991060612
03000000007801Z16       10345060612
03000000009001X01      431847060612
03000000009001X02      139086060612
03000000009001Z99      117424060612
03000000009001V87           0060612
03000000009001X06      117424060612
03000000009001X05      360048060612
03000000009001Z98           0060612
03000000009001Z72      238794060612
03000000009001Z73        6785060612
03000000009001X08     23809910606AC
03000000009001Z97           00606NR
03000000009001Z96     1880972060612
03000000009001Z95           0060612
03000000009001X11     15561170606AC
03000000009001X12       60313060612
03000000009001Z93       77974060612
03000000009001Z92           00606NR
03000000009001Z91           00606NR
03000000009001Z90           0060612
03000000009001Z88       36088060612
03000000009001Z87           00606AC
03000000009001Z68       61040060612
03000000009001X21       971280606AC
03000000009001Z89       70827060612
03000000009001X33      135752060612
03000000009001X30      206579060612
03000000009001X42           0060612
03000000009001Z84           0060612
03000000009001X35      349439060612
03000000009001Z83     3897704060612
03000000009001X44     42471430606AC
03000000009001X46       26774060612
03000000009001X47      258966060612
03000000009001Z82      285740060612
03000000009001Z81    24040925060612
03000000009001Z78    144242290606AC
03000000009001Z77     4780106060612
03000000009001Z76       45306060612
03000000009001Z75      172643060612
03000000009001Z01      217949060612
03000000009001Z02      163527060612
03000000009001Z03       72953060612
03000000009001Z04        5018060612
03000000009001Z05        4865060612
03000000009001Z06         515060612
03000000009001Z07          63060612
03000000009001Z08   1296787600606AC
03000000009001Z09     91635950606AC
03000000009001Z10     16651450606AC
03000000009001Z11     3125170060612
03000000009001Z12     1927575060612
03000000009001Z74           00606NR
03000000009001V01           00606NR
03000000009001V02           00606NR
03000000009001V03           00606NR
03000000009001V04           00606NR
03000000009001V05           00606NR
03000000009001V07           00606NR
03000000009001Z71      254440060612
03000000009001Z62     2108401060612
03000000009001Z63     2671705060612
03000000009001Z70           00606AC
03000000009001Z13     1538992060612
03000000009001Z14           0060612
03000000009001Z15       17125060612
03000000009001Z16           0060612
03000000090001X01        2644060612
03000000090001X02        1167060612
03000000090001Z99        2398060612
03000000090001V87           0060612
03000000090001X06        2398060612
03000000090001X05        5227060612
03000000090001Z98           0060612
03000000090001Z72        3781060612
03000000090001Z73          87060612
03000000090001X08       244690606AC
03000000090001Z97           00606NR
03000000090001Z96       14718060612
03000000090001Z95           00606AC
03000000090001X11       27909060612
03000000090001X12           7060612
